City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,stanley,54.868,-1.6985,14.84,92,100,1.03,GB,1690441836
155,avarua,-21.2078,-159.775,20.03,88,100,0.51,CK,1690442052
156,razole,16.4833,81.8333,27.76,82,100,5.87,IN,1690442053
157,ancud,-41.8697,-73.8203,8.04,95,100,4.0,CL,1690442053
158,st. john's,47.5649,-52.7093,18.21,85,6,2.68,CA,1690441862
159,sinabang,2.4803,96.3801,29.6,69,60,1.6,ID,1690442053
160,mount gambier,-37.8333,140.7667,12.75,84,100,3.64,AU,1690442054
161,lihue,21.9789,-159.3672,27.58,79,20,7.72,US,1690442054
162,lorengau,-2.0226,147.2712,27.72,81,100,4.0,PG,1690442054
163,tokar,18.4254,37.729,35.76,35,7,15.89,SD,1690442054
164,ugoofaaru,5.6667,73.0,28.36,69,100,1.07,MV,1690442055
165,acapulco de juarez,16.8634,-99.8901,28.9,79,75,0.0,MX,1690442055
166,robertsport,6.7533,-11.3686,24.96,86,42,0.73,LR,1690442055
167,remire-montjoly,4.9167,-52.2667,24.02,100,100,0.0,GF,1690441961
168,udachny,66.4167,112.4,18.84,47,100,1.45,RU,1690442056
169,abepura,-2.6333,140.5833,29.45,62,20,1.54,ID,1690442056
170,nadi,-17.8,177.4167,19.0,94,100,2.57,FJ,1690442056
171,sumbawa besar,-8.5,117.4333,31.17,41,12,5.09,ID,1690442056
172,buala,-8.145,159.5921,26.0,88,100,3.53,SB,1690442057
173,atafu village,-8.5421,-172.5159,28.67,76,69,7.33,TK,1690442057
174,kimbe,-5.5502,150.1429,28.44,75,79,3.74,PG,1690442057
175,herceg novi,42.4531,18.5375,25.04,38,0,5.66,ME,1690442057
176,queen creek,33.2487,-111.6343,35.1,44,69,5.36,US,1690442058
177,taoudenni,22.6783,-3.9836,36.47,26,99,3.21,ML,1690442058
178,ulan bator,47.9077,106.8832,25.07,36,40,4.0,MN,1690441845
179,lake munmorah,-33.1936,151.5719,18.13,75,0,0.89,AU,1690442059
180,leer,53.2316,7.461,14.97,94,100,4.24,DE,1690442059
181,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,77,20,7.0,RU,1690441949
182,iskateley,67.6803,53.1512,22.0,53,60,1.24,RU,1690442060
183,nova vicosa,-17.8919,-39.3719,20.55,77,2,0.45,BR,1690442060
184,geraldton,-28.7667,114.6,16.23,72,100,3.09,AU,1690442061
185,nosy varika,-20.5833,48.5333,19.45,67,100,3.13,MG,1690442061
186,chapeco,-27.0964,-52.6183,12.98,96,81,0.92,BR,1690442061
187,mount isa,-20.7333,139.5,24.87,53,75,4.63,AU,1690441873
188,kwang binh,17.4833,106.6,37.6,45,69,3.41,VN,1690442062
